Run_ID,Experiment,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz,F
1_071_B3_25_g,1,2,71,3,9,g,25,0.0,12,89.4,87.8,na,5,0.8,390,0.07,0.439,1.958,0.21,2.001,71.3,2.107,175.1,62.81,125.2,224.2323485
1_071_B3_25_g,1,2,71,3,9,g,25,0.0,12,89.4,87.8,na,6,0.8,390,0.07,0.439,2.005,0.255,2.066,70.5,2.278,175.1,62.81,125.2,224.2323485
1_071_B3_27_h,1,2,71,3,9,h,27,0.0,12,89.4,87.8,na,1,0.8,390,0.13,0.848,3.781,0.453,2.328,132.8,3.953,288.6,98.16,213.6,372.2234619
1_071_B3_27_h,1,2,71,3,9,h,27,0.0,12,89.4,87.8,na,2,0.8,390,0.13,0.823,3.847,0.649,2.487,113.7,4.026,288.6,98.16,213.6,372.2234619
1_071_B3_27_h,1,2,71,3,9,h,27,0.0,12,89.4,87.8,na,3,0.8,390,0.13,0.839,3.765,0.615,2.426,131.2,3.902,288.6,98.16,213.6,372.2234619
1_071_B3_27_h,1,2,71,3,9,h,27,0.0,12,89.4,87.8,na,4,0.8,390,0.13,0.838,3.797,0.555,2.39,130.7,3.943,288.6,98.16,213.6,372.2234619
1_071_B3_27_h,1,2,71,3,9,h,27,0.0,12,89.4,87.8,na,5,0.8,390,0.13,0.821,3.753,0.565,2.426,132.4,3.865,288.6,98.16,213.6,372.2234619
1_071_B3_27_h,1,2,71,3,9,h,27,0.0,12,89.4,87.8,na,6,0.8,390,0.13,0.843,3.794,0.514,2.372,131.9,3.909,288.6,98.16,213.6,372.2234619
1_071_B3_26_i,1,2,71,3,9,i,26,0.0,12,89.4,87.8,na,1,0.8,390,0.1,0.538,2.328,-0.013,1.92,79.0,2.546,236.9,77.17,223.4,334.6406713
1_071_B3_26_i,1,2,71,3,9,i,26,0.0,12,89.4,87.8,na,2,0.8,390,0.1,0.597,2.429,-0.162,1.813,100.7,2.742,236.9,77.17,223.4,334.6406713
